time_min,C_in,C_f,S
48.75,0.003585,0.000247,0.000042
49.00,0.004361,0.000309,0.000053
49.25,0.005286,0.000385,0.000067
49.50,0.006385,0.000478,0.000085
49.75,0.007686,0.000591,0.000106
50.00,0.009220,0.000730,0.000132
50.25,0.011022,0.000898,0.000164
50.50,0.013130,0.001100,0.000204
50.75,0.015588,0.001345,0.000252
51.00,0.018442,0.001638,0.000311
51.25,0.021742,0.001989,0.000383
51.50,0.025545,0.002407,0.000469
51.75,0.029909,0.002904,0.000573
52.00,0.034897,0.003493,0.000698
52.25,0.040577,0.004187,0.000847
52.50,0.047017,0.005004,0.001026
52.75,0.054291,0.005961,0.001238
53.00,0.062474,0.007078,0.001490
53.25,0.071640,0.008378,0.001787
53.50,0.081868,0.009885,0.002137
53.75,0.093233,0.011627,0.002549
54.00,0.105807,0.013633,0.003030
54.25,0.119662,0.015934,0.003591
54.50,0.134862,0.018566,0.004244
54.75,0.151468,0.021564,0.005000
55.00,0.169530,0.024968,0.005873
55.25,0.189088,0.028819,0.006878
55.50,0.210174,0.033161,0.008032
55.75,0.232803,0.038038,0.009351
56.00,0.256975,0.043498,0.010856
56.25,0.282676,0.049587,0.012565
56.50,0.309871,0.056353,0.014501
56.75,0.338508,0.063846,0.016687
57.00,0.368511,0.072113,0.019147
57.25,0.399785,0.081200,0.021906
57.50,0.432213,0.091152,0.024990
57.75,0.465654,0.102011,0.028427
58.00,0.499947,0.113817,0.032245
58.25,0.534908,0.126604,0.036471
58.50,0.570333,0.140400,0.041135
58.75,0.606000,0.155229,0.046264
59.00,0.641669,0.171108,0.051887
59.25,0.677087,0.188045,0.058031
59.50,0.711988,0.206039,0.064722
59.75,0.746097,0.225081,0.071986
60.00,0.779135,0.245152,0.079844
60.25,0.810820,0.266220,0.088317
60.50,0.840874,0.288244,0.097424
60.75,0.869025,0.311171,0.107179
61.00,0.895010,0.334935,0.117592
61.25,0.918583,0.359459,0.128673
61.50,0.939514,0.384655,0.140422
61.75,0.957597,0.410422,0.152839
62.00,0.972651,0.436649,0.165917
62.25,0.984523,0.463214,0.179643
62.50,0.993091,0.489986,0.194000
62.75,0.998268,0.516825,0.208964
63.00,1.000000,0.543585,0.224507
63.25,0.998268,0.570113,0.240592
63.50,0.993091,0.596250,0.257180
63.75,0.984523,0.621839,0.274223
64.00,0.972651,0.646716,0.291670
64.25,0.957597,0.670723,0.309463
64.50,0.939514,0.693701,0.327538
64.75,0.918583,0.715496,0.345831
65.00,0.895010,0.735962,0.364268
65.25,0.869025,0.754958,0.382776
65.50,0.840874,0.772356,0.401277
65.75,0.810820,0.788035,0.419691
66.00,0.779135,0.801891,0.437935
66.25,0.746097,0.813830,0.455929
66.50,0.711988,0.823774,0.473588
66.75,0.677087,0.831663,0.490830
67.00,0.641669,0.837449,0.507575
67.25,0.606000,0.841106,0.523744
67.50,0.570333,0.842620,0.539260
67.75,0.534908,0.841996,0.554051
68.00,0.499947,0.839258,0.568048
68.25,0.465654,0.834441,0.581189
68.50,0.432213,0.827601,0.593413
68.75,0.399785,0.818804,0.604669
69.00,0.368511,0.808132,0.614909
69.25,0.338508,0.795679,0.624094
69.50,0.309871,0.781551,0.632190
69.75,0.282676,0.765860,0.639171
70.00,0.256975,0.748731,0.645018
70.25,0.232803,0.730291,0.649718
70.50,0.210174,0.710676,0.653265
70.75,0.189088,0.690022,0.655662
71.00,0.169530,0.668469,0.656916
71.25,0.151468,0.646156,0.657043
71.50,0.134862,0.623224,0.656062
71.75,0.119662,0.599808,0.654001
72.00,0.105807,0.576041,0.650891
72.25,0.093233,0.552052,0.646768
72.50,0.081868,0.527963,0.641674
72.75,0.071640,0.503892,0.635654
73.00,0.062474,0.479947,0.628755
73.25,0.054291,0.456231,0.621030
73.50,0.047017,0.432836,0.612530
73.75,0.040577,0.409848,0.603311
74.00,0.034897,0.387344,0.593431
74.25,0.029909,0.365390,0.582945
74.50,0.025545,0.344047,0.571911
74.75,0.021742,0.323364,0.560388
75.00,0.018442,0.303384,0.548432
75.25,0.015588,0.284141,0.536099
75.50,0.013130,0.265662,0.523443
75.75,0.011022,0.247967,0.510520
76.00,0.009220,0.231068,0.497379
76.25,0.007686,0.214971,0.484070
76.50,0.006385,0.199678,0.470642
76.75,0.005286,0.185184,0.457138
77.00,0.004361,0.171480,0.443601
77.25,0.003585,0.158552,0.430072
77.50,0.002937,0.146385,0.416587
77.75,0.002398,0.134958,0.403181
78.00,0.001951,0.124249,0.389886
78.25,0.001582,0.114232,0.376731
78.50,0.001278,0.104883,0.363742
78.75,0.001029,0.096173,0.350943
79.00,0.000826,0.088074,0.338356
79.25,0.000661,0.080556,0.325999
79.50,0.000526,0.073590,0.313889
79.75,0.000418,0.067147,0.302041
80.00,0.000331,0.061197,0.290466
80.25,0.000261,0.055711,0.279174
80.50,0.000205,0.050661,0.268175
80.75,0.000161,0.046019,0.257474
81.00,0.000125,0.041759,0.247075
81.25,0.000097,0.037855,0.236984
81.50,0.000076,0.034282,0.227201
81.75,0.000058,0.031016,0.217726
82.00,0.000045,0.028034,0.208560
82.25,0.000034,0.025316,0.199702
82.50,0.000026,0.022841,0.191147
82.75,0.000020,0.020591,0.182893
83.00,0.000015,0.018546,0.174937
83.25,0.000012,0.016691,0.167272
83.50,0.000009,0.015009,0.159895
83.75,0.000007,0.013486,0.152798
84.00,0.000005,0.012109,0.145976
84.25,0.000004,0.010864,0.139422
84.50,0.000003,0.009740,0.133130
84.75,0.000002,0.008727,0.127091
85.00,0.000001,0.007813,0.121300
85.25,0.000001,0.006991,0.115749
85.50,0.000001,0.006251,0.110430
85.75,0.000001,0.005586,0.105336
86.00,0.000000,0.004989,0.100459
86.25,0.000000,0.004453,0.095792
86.50,0.000000,0.003972,0.091327
86.75,0.000000,0.003541,0.087058
87.00,0.000000,0.003155,0.082977
87.25,0.000000,0.002810,0.079077
87.50,0.000000,0.002501,0.075352
87.75,0.000000,0.002225,0.071793
88.00,0.000000,0.001979,0.068395
88.25,0.000000,0.001759,0.065152
88.50,0.000000,0.001562,0.062056
88.75,0.000000,0.001387,0.059102
89.00,0.000000,0.001231,0.056284
89.25,0.000000,0.001093,0.053596
89.50,0.000000,0.000969,0.051033
89.75,0.000000,0.000859,0.048589
90.00,0.000000,0.000761,0.046260
90.25,0.000000,0.000674,0.044039
90.50,0.000000,0.000597,0.041922
90.75,0.000000,0.000528,0.039906
91.00,0.000000,0.000467,0.037984
91.25,0.000000,0.000413,0.036153
91.50,0.000000,0.000366,0.034409
91.75,0.000000,0.000323,0.032748
92.00,0.000000,0.000286,0.031166
92.25,0.000000,0.000252,0.029659
92.50,0.000000,0.000223,0.028224
92.75,0.000000,0.000197,0.026858
93.00,0.000000,0.000173,0.025557
93.25,0.000000,0.000153,0.024319
93.50,0.000000,0.000135,0.023140
93.75,0.000000,0.000119,0.022018
94.00,0.000000,0.000105,0.020949
94.25,0.000000,0.000092,0.019933
94.50,0.000000,0.000081,0.018965
94.75,0.000000,0.000072,0.018044
95.00,0.000000,0.000063,0.017167
95.25,0.000000,0.000056,0.016333
95.50,0.000000,0.000049,0.015539
95.75,0.000000,0.000043,0.014783
96.00,0.000000,0.000038,0.014064
96.25,0.000000,0.000033,0.013380
96.50,0.000000,0.000029,0.012729
96.75,0.000000,0.000026,0.012109
97.00,0.000000,0.000023,0.011520
97.25,0.000000,0.000020,0.010959
97.50,0.000000,0.000017,0.010426
97.75,0.000000,0.000015,0.009918
98.00,0.000000,0.000013,0.009435
98.25,0.000000,0.000012,0.008976
98.50,0.000000,0.000010,0.008538
98.75,0.000000,0.000009,0.008122
99.00,0.000000,0.000008,0.007727
99.25,0.000000,0.000007,0.007350
99.50,0.000000,0.000006,0.006992
99.75,0.000000,0.000005,0.006651
100.00,0.000000,0.000005,0.006327
100.25,0.000000,0.000004,0.006019
100.50,0.000000,0.000004,0.005726
100.75,0.000000,0.000003,0.005446
101.00,0.000000,0.000003,0.005181
101.25,0.000000,0.000002,0.004928
101.50,0.000000,0.000002,0.004688
101.75,0.000000,0.000002,0.004460
102.00,0.000000,0.000002,0.004242
102.25,0.000000,0.000001,0.004035
102.50,0.000000,0.000001,0.003839
102.75,0.000000,0.000001,0.003651
103.00,0.000000,0.000001,0.003473
103.25,0.000000,0.000001,0.003304
103.50,0.000000,0.000001,0.003143
103.75,0.000000,0.000001,0.002990
104.00,0.000000,0.000001,0.002844
104.25,0.000000,0.000000,0.002705
104.50,0.000000,0.000000,0.002573
104.75,0.000000,0.000000,0.002448
105.00,0.000000,0.000000,0.002329
105.25,0.000000,0.000000,0.002215
105.50,0.000000,0.000000,0.002107
105.75,0.000000,0.000000,0.002004
106.00,0.000000,0.000000,0.001906
106.25,0.000000,0.000000,0.001814
106.50,0.000000,0.000000,0.001725
106.75,0.000000,0.000000,0.001641
107.00,0.000000,0.000000,0.001561
107.25,0.000000,0.000000,0.001485
107.50,0.000000,0.000000,0.001412
107.75,0.000000,0.000000,0.001344
108.00,0.000000,0.000000,0.001278
108.25,0.000000,0.000000,0.001216
108.50,0.000000,0.000000,0.001156
108.75,0.000000,0.000000,0.001100
109.00,0.000000,0.000000,0.001046
109.25,0.000000,0.000000,0.000995
109.50,0.000000,0.000000,0.000947
109.75,0.000000,0.000000,0.000901
110.00,0.000000,0.000000,0.000857
110.25,0.000000,0.000000,0.000815
110.50,0.000000,0.000000,0.000775
110.75,0.000000,0.000000,0.000737
111.00,0.000000,0.000000,0.000701
111.25,0.000000,0.000000,0.000667
111.50,0.000000,0.000000,0.000635
111.75,0.000000,0.000000,0.000604
112.00,0.000000,0.000000,0.000574
112.25,0.000000,0.000000,0.000546
112.50,0.000000,0.000000,0.000520
112.75,0.000000,0.000000,0.000494
113.00,0.000000,0.000000,0.000470
113.25,0.000000,0.000000,0.000447
113.50,0.000000,0.000000,0.000425
113.75,0.000000,0.000000,0.000405
114.00,0.000000,0.000000,0.000385
114.25,0.000000,0.000000,0.000366
114.50,0.000000,0.000000,0.000348
114.75,0.000000,0.000000,0.000331
115.00,0.000000,0.000000,0.000315
115.25,0.000000,0.000000,0.000300
115.50,0.000000,0.000000,0.000285
115.75,0.000000,0.000000,0.000271
116.00,0.000000,0.000000,0.000258
116.25,0.000000,0.000000,0.000245
116.50,0.000000,0.000000,0.000233
116.75,0.000000,0.000000,0.000222
117.00,0.000000,0.000000,0.000211
117.25,0.000000,0.000000,0.000201
117.50,0.000000,0.000000,0.000191
117.75,0.000000,0.000000,0.000182
118.00,0.000000,0.000000,0.000173
118.25,0.000000,0.000000,0.000165
118.50,0.000000,0.000000,0.000157
118.75,0.000000,0.000000,0.000149
119.00,0.000000,0.000000,0.000142
119.25,0.000000,0.000000,0.000135
119.50,0.000000,0.000000,0.000128
119.75,0.000000,0.000000,0.000122
120.00,0.000000,0.000000,0.000116
120.25,0.000000,0.000000,0.000110
120.50,0.000000,0.000000,0.000105
120.75,0.000000,0.000000,0.000100
121.00,0.000000,0.000000,0.000095
121.25,0.000000,0.000000,0.000090
121.50,0.000000,0.000000,0.000086
121.75,0.000000,0.000000,0.000082
122.00,0.000000,0.000000,0.000078
122.25,0.000000,0.000000,0.000074
122.50,0.000000,0.000000,0.000070
122.75,0.000000,0.000000,0.000067
123.00,0.000000,0.000000,0.000064
123.25,0.000000,0.000000,0.000061
123.50,0.000000,0.000000,0.000058
123.75,0.000000,0.000000,0.000055
124.00,0.000000,0.000000,0.000052
124.25,0.000000,0.000000,0.000050
124.50,0.000000,0.000000,0.000047
124.75,0.000000,0.000000,0.000045
125.00,0.000000,0.000000,0.000043
125.25,0.000000,0.000000,0.000041
125.50,0.000000,0.000000,0.000039
125.75,0.000000,0.000000,0.000037
126.00,0.000000,0.000000,0.000035
126.25,0.000000,0.000000,0.000033
126.50,0.000000,0.000000,0.000032
126.75,0.000000,0.000000,0.000030
127.00,0.000000,0.000000,0.000029
127.25,0.000000,0.000000,0.000027
127.50,0.000000,0.000000,0.000026
127.75,0.000000,0.000000,0.000025
128.00,0.000000,0.000000,0.000023
128.25,0.000000,0.000000,0.000022
128.50,0.000000,0.000000,0.000021
128.75,0.000000,0.000000,0.000020
129.00,0.000000,0.000000,0.000019
129.25,0.000000,0.000000,0.000018
129.50,0.000000,0.000000,0.000017
129.75,0.000000,0.000000,0.000016
130.00,0.000000,0.000000,0.000016
130.25,0.000000,0.000000,0.000015
130.50,0.000000,0.000000,0.000014
130.75,0.000000,0.000000,0.000014
131.00,0.000000,0.000000,0.000013
131.25,0.000000,0.000000,0.000012
131.50,0.000000,0.000000,0.000012
131.75,0.000000,0.000000,0.000011
132.00,0.000000,0.000000,0.000011
132.25,0.000000,0.000000,0.000010
132.50,0.000000,0.000000,0.000010
132.75,0.000000,0.000000,0.000009
133.00,0.000000,0.000000,0.000009
133.25,0.000000,0.000000,0.000008
133.50,0.000000,0.000000,0.000008
133.75,0.000000,0.000000,0.000007
134.00,0.000000,0.000000,0.000007
134.25,0.000000,0.000000,0.000007
134.50,0.000000,0.000000,0.000006
134.75,0.000000,0.000000,0.000006
135.00,0.000000,0.000000,0.000006
135.25,0.000000,0.000000,0.000005
135.50,0.000000,0.000000,0.000005
135.75,0.000000,0.000000,0.000005
136.00,0.000000,0.000000,0.000005
136.25,0.000000,0.000000,0.000004
136.50,0.000000,0.000000,0.000004
136.75,0.000000,0.000000,0.000004
137.00,0.000000,0.000000,0.000004
137.25,0.000000,0.000000,0.000004
137.50,0.000000,0.000000,0.000004
137.75,0.000000,0.000000,0.000003
138.00,0.000000,0.000000,0.000003
138.25,0.000000,0.000000,0.000003
138.50,0.000000,0.000000,0.000003
138.75,0.000000,0.000000,0.000003
139.00,0.000000,0.000000,0.000003
139.25,0.000000,0.000000,0.000002
139.50,0.000000,0.000000,0.000002
139.75,0.000000,0.000000,0.000002
140.00,0.000000,0.000000,0.000002
140.25,0.000000,0.000000,0.000002
140.50,0.000000,0.000000,0.000002
140.75,0.000000,0.000000,0.000002
141.00,0.000000,0.000000,0.000002
141.25,0.000000,0.000000,0.000002
141.50,0.000000,0.000000,0.000002
141.75,0.000000,0.000000,0.000001
142.00,0.000000,0.000000,0.000001
142.25,0.000000,0.000000,0.000001
142.50,0.000000,0.000000,0.000001
142.75,0.000000,0.000000,0.000001
143.00,0.000000,0.000000,0.000001
143.25,0.000000,0.000000,0.000001
143.50,0.000000,0.000000,0.000001
143.75,0.000000,0.000000,0.000001
144.00,0.000000,0.000000,0.000001
144.25,0.000000,0.000000,0.000001
144.50,0.000000,0.000000,0.000001
144.75,0.000000,0.000000,0.000001
145.00,0.000000,0.000000,0.000001
145.25,0.000000,0.000000,0.000001
145.50,0.000000,0.000000,0.000001
145.75,0.000000,0.000000,0.000001
146.00,0.000000,0.000000,0.000001
146.25,0.000000,0.000000,0.000001
146.50,0.000000,0.000000,0.000001
146.75,0.000000,0.000000,0.000001
147.00,0.000000,0.000000,0.000001
147.25,0.000000,0.000000,0.000000
147.50,0.000000,0.000000,0.000000
147.75,0.000000,0.000000,0.000000
148.00,0.000000,0.000000,0.000000
148.25,0.000000,0.000000,0.000000
148.50,0.000000,0.000000,0.000000
148.75,0.000000,0.000000,0.000000
149.00,0.000000,0.000000,0.000000
149.25,0.000000,0.000000,0.000000
149.50,0.000000,0.000000,0.000000
149.75,0.000000,0.000000,0.000000
150.00,0.000000,0.000000,0.000000
150.25,0.000000,0.000000,0.000000
150.50,0.000000,0.000000,0.000000
150.75,0.000000,0.000000,0.000000
151.00,0.000000,0.000000,0.000000
151.25,0.000000,0.000000,0.000000
151.50,0.000000,0.000000,0.000000
151.75,0.000000,0.000000,0.000000
152.00,0.000000,0.000000,0.000000
152.25,0.000000,0.000000,0.000000
152.50,0.000000,0.000000,0.000000
152.75,0.000000,0.000000,0.000000
153.00,0.000000,0.000000,0.000000
153.25,0.000000,0.000000,0.000000
153.50,0.000000,0.000000,0.000000
153.75,0.000000,0.000000,0.000000
154.00,0.000000,0.000000,0.000000
154.25,0.000000,0.000000,0.000000
154.50,0.000000,0.000000,0.000000
154.75,0.000000,0.000000,0.000000
155.00,0.000000,0.000000,0.000000
155.25,0.000000,0.000000,0.000000
155.50,0.000000,0.000000,0.000000
155.75,0.000000,0.000000,0.000000
156.00,0.000000,0.000000,0.000000
156.25,0.000000,0.000000,0.000000
156.50,0.000000,0.000000,0.000000
156.75,0.000000,0.000000,0.000000
157.00,0.000000,0.000000,0.000000
157.25,0.000000,0.000000,0.000000
157.50,0.000000,0.000000,0.000000
157.75,0.000000,0.000000,0.000000
158.00,0.000000,0.000000,0.000000
158.25,0.000000,0.000000,0.000000
158.50,0.000000,0.000000,0.000000
158.75,0.000000,0.000000,0.000000
159.00,0.000000,0.000000,0.000000
159.25,0.000000,0.000000,0.000000
159.50,0.000000,0.000000,0.000000
159.75,0.000000,0.000000,0.000000
160.00,0.000000,0.000000,0.000000
160.25,0.000000,0.000000,0.000000
160.50,0.000000,0.000000,0.000000
160.75,0.000000,0.000000,0.000000
161.00,0.000000,0.000000,0.000000
161.25,0.000000,0.000000,0.000000
161.50,0.000000,0.000000,0.000000
161.75,0.000000,0.000000,0.000000
162.00,0.000000,0.000000,0.000000
162.25,0.000000,0.000000,0.000000
162.50,0.000000,0.000000,0.000000
162.75,0.000000,0.000000,0.000000
163.00,0.000000,0.000000,0.000000
163.25,0.000000,0.000000,0.000000
163.50,0.000000,0.000000,0.000000
163.75,0.000000,0.000000,0.000000
164.00,0.000000,0.000000,0.000000
164.25,0.000000,0.000000,0.000000
164.50,0.000000,0.000000,0.000000
164.75,0.000000,0.000000,0.000000
165.00,0.000000,0.000000,0.000000
165.25,0.000000,0.000000,0.000000
165.50,0.000000,0.000000,0.000000
165.75,0.000000,0.000000,0.000000
166.00,0.000000,0.000000,0.000000
166.25,0.000000,0.000000,0.000000
166.50,0.000000,0.000000,0.000000
166.75,0.000000,0.000000,0.000000
167.00,0.000000,0.000000,0.000000
167.25,0.000000,0.000000,0.000000
167.50,0.000000,0.000000,0.000000
167.75,0.000000,0.000000,0.000000
168.00,0.000000,0.000000,0.000000
168.25,0.000000,0.000000,0.000000
168.50,0.000000,0.000000,0.000000
168.75,0.000000,0.000000,0.000000
169.00,0.000000,0.000000,0.000000
169.25,0.000000,0.000000,0.000000
169.50,0.000000,0.000000,0.000000
169.75,0.000000,0.000000,0.000000
170.00,0.000000,0.000000,0.000000
170.25,0.000000,0.000000,0.000000
170.50,0.000000,0.000000,0.000000
170.75,0.000000,0.000000,0.000000
171.00,0.000000,0.000000,0.000000
171.25,0.000000,0.000000,0.000000
171.50,0.000000,0.000000,0.000000
171.75,0.000000,0.000000,0.000000
172.00,0.000000,0.000000,0.000000
172.25,0.000000,0.000000,0.000000
172.50,0.000000,0.000000,0.000000
172.75,0.000000,0.000000,0.000000
173.00,0.000000,0.000000,0.000000
173.25,0.000000,0.000000,0.000000
173.50,0.000000,0.000000,0.000000
173.75,0.000000,0.000000,0.000000
174.00,0.000000,0.000000,0.000000
174.25,0.000000,0.000000,0.000000
174.50,0.000000,0.000000,0.000000
174.75,0.000000,0.000000,0.000000
175.00,0.000000,0.000000,0.000000
175.25,0.000000,0.000000,0.000000
175.50,0.000000,0.000000,0.000000
175.75,0.000000,0.000000,0.000000
176.00,0.000000,0.000000,0.000000
176.25,0.000000,0.000000,0.000000
176.50,0.000000,0.000000,0.000000
176.75,0.000000,0.000000,0.000000
177.00,0.000000,0.000000,0.000000
177.25,0.000000,0.000000,0.000000
177.50,0.000000,0.000000,0.000000
177.75,0.000000,0.000000,0.000000
178.00,0.000000,0.000000,0.000000
178.25,0.000000,0.000000,0.000000
178.50,0.000000,0.000000,0.000000
178.75,0.000000,0.000000,0.000000
179.00,0.000000,0.000000,0.000000
179.25,0.000000,-0.000000,0.000000
179.50,0.000000,-0.000000,0.000000
179.75,0.000000,-0.000000,0.000000
180.00,0.000000,-0.000000,0.000000
