theta_min,through,wick,fmc,chrono,accum
117.0,0.000000,0.000039,0.000000,0.000000,0.008330
117.5,0.000000,0.000037,0.000000,0.000000,0.008330
118.0,0.000000,0.000036,0.000000,0.000000,0.008330
118.5,0.000000,0.000035,0.000000,0.000000,0.008330
119.0,0.000000,0.000034,0.000000,0.000000,0.008330
119.5,0.000000,0.000032,0.000000,0.000000,0.008330
120.0,0.000000,0.000031,0.000000,0.000000,0.008330
120.5,0.000000,0.000030,0.000000,0.000000,0.000000
121.0,0.000000,0.000029,0.000000,0.000000,0.000000
121.5,0.000000,0.000028,0.000000,0.000000,0.000000
122.0,0.000000,0.000027,0.000000,0.000000,0.000000
122.5,0.000000,0.000026,0.000000,0.000000,0.000000
123.0,0.000000,0.000025,0.000000,0.000000,0.000000
123.5,0.000000,0.000024,0.000000,0.000000,0.000000
124.0,0.000000,0.000024,0.000000,0.000000,0.000000
124.5,0.000000,0.000023,0.000000,0.000000,0.000000
125.0,0.000000,0.000022,0.000000,0.000000,0.000000
125.5,0.000000,0.000021,0.000000,0.000000,0.000000
126.0,0.000000,0.000020,0.000000,0.000000,0.000000
126.5,0.000000,0.000020,0.000000,0.000000,0.000000
127.0,0.000000,0.000019,0.000000,0.000000,0.000000
127.5,0.000000,0.000018,0.000000,0.000000,0.000000
128.0,0.000000,0.000018,0.000000,0.000000,0.000000
128.5,0.000000,0.000017,0.000000,0.000000,0.000000
129.0,0.000000,0.000017,0.000000,0.000000,0.000000
129.5,0.000000,0.000016,0.000000,0.000000,0.000000
130.0,0.000000,0.000015,0.000000,0.000000,0.000000
