time_min,C_in,S_A,S_B
48.75,0.003585,0.000353,0.000353
49.00,0.004361,0.000438,0.000438
49.25,0.005286,0.000542,0.000542
49.50,0.006385,0.000668,0.000668
49.75,0.007686,0.000821,0.000821
50.00,0.009220,0.001007,0.001007
50.25,0.011022,0.001229,0.001229
50.50,0.013130,0.001497,0.001497
50.75,0.015588,0.001816,0.001816
51.00,0.018442,0.002197,0.002197
51.25,0.021742,0.002649,0.002649
51.50,0.025545,0.003184,0.003184
51.75,0.029909,0.003814,0.003814
52.00,0.034897,0.004554,0.004554
52.25,0.040577,0.005420,0.005420
52.50,0.047017,0.006430,0.006430
52.75,0.054291,0.007604,0.007604
53.00,0.062474,0.008964,0.008964
53.25,0.071640,0.010533,0.010533
53.50,0.081868,0.012337,0.012337
53.75,0.093233,0.014405,0.014405
54.00,0.105807,0.016765,0.016765
54.25,0.119662,0.019451,0.019451
54.50,0.134862,0.022495,0.022495
54.75,0.151468,0.025934,0.025934
55.00,0.169530,0.029805,0.029805
55.25,0.189088,0.034145,0.034145
55.50,0.210174,0.038995,0.038995
55.75,0.232803,0.044395,0.044395
56.00,0.256975,0.050385,0.050385
56.25,0.282676,0.057005,0.057005
56.50,0.309871,0.064295,0.064295
56.75,0.338508,0.072294,0.072294
57.00,0.368511,0.081037,0.081037
57.25,0.399785,0.090558,0.090558
57.50,0.432213,0.100889,0.100889
57.75,0.465654,0.112054,0.112054
58.00,0.499947,0.124077,0.124077
58.25,0.534908,0.136974,0.136974
58.50,0.570333,0.150754,0.150754
58.75,0.606000,0.165422,0.165422
59.00,0.641669,0.180974,0.180974
59.25,0.677087,0.197397,0.197397
59.50,0.711988,0.214671,0.214671
59.75,0.746097,0.232767,0.232767
60.00,0.779135,0.251645,0.251645
60.25,0.810820,0.271258,0.271258
60.50,0.840874,0.291549,0.291549
60.75,0.869025,0.312449,0.312449
61.00,0.895010,0.333883,0.333883
61.25,0.918583,0.355766,0.355766
61.50,0.939514,0.378003,0.378003
61.75,0.957597,0.400495,0.400495
62.00,0.972651,0.423133,0.423133
62.25,0.984523,0.445802,0.445802
62.50,0.993091,0.468385,0.468385
62.75,0.998268,0.490759,0.490759
63.00,1.000000,0.512799,0.512799
63.25,0.998268,0.534379,0.534379
63.50,0.993091,0.555373,0.555373
63.75,0.984523,0.575658,0.575658
64.00,0.972651,0.595112,0.595112
64.25,0.957597,0.613619,0.613619
64.50,0.939514,0.631069,0.631069
64.75,0.918583,0.647357,0.647357
65.00,0.895010,0.662390,0.662390
65.25,0.869025,0.676080,0.676080
65.50,0.840874,0.688353,0.688353
65.75,0.810820,0.699144,0.699144
66.00,0.779135,0.708400,0.708400
66.25,0.746097,0.716080,0.716080
66.50,0.711988,0.722156,0.722156
66.75,0.677087,0.726612,0.726612
67.00,0.641669,0.729445,0.729445
67.25,0.606000,0.730664,0.730664
67.50,0.570333,0.730291,0.730291
67.75,0.534908,0.728356,0.728356
68.00,0.499947,0.724903,0.724903
68.25,0.465654,0.719985,0.719985
68.50,0.432213,0.713662,0.713662
68.75,0.399785,0.706006,0.706006
69.00,0.368511,0.697093,0.697093
69.25,0.338508,0.687004,0.687004
69.50,0.309871,0.675828,0.675828
69.75,0.282676,0.663655,0.663655
70.00,0.256975,0.650578,0.650578
70.25,0.232803,0.636694,0.636694
70.50,0.210174,0.622097,0.622097
70.75,0.189088,0.606882,0.606882
71.00,0.169530,0.591144,0.591144
71.25,0.151468,0.574974,0.574974
71.50,0.134862,0.558460,0.558460
71.75,0.119662,0.541689,0.541689
72.00,0.105807,0.524740,0.524740
72.25,0.093233,0.507691,0.507691
72.50,0.081868,0.490614,0.490614
72.75,0.071640,0.473575,0.473575
73.00,0.062474,0.456635,0.456635
73.25,0.054291,0.439851,0.439851
73.50,0.047017,0.423274,0.423274
73.75,0.040577,0.406948,0.406948
74.00,0.034897,0.390913,0.390913
74.25,0.029909,0.375204,0.375204
74.50,0.025545,0.359851,0.359851
74.75,0.021742,0.344879,0.344879
75.00,0.018442,0.330309,0.330309
75.25,0.015588,0.316157,0.316157
75.50,0.013130,0.302436,0.302436
75.75,0.011022,0.289155,0.289155
76.00,0.009220,0.276319,0.276319
76.25,0.007686,0.263932,0.263932
76.50,0.006385,0.251995,0.251995
76.75,0.005286,0.240504,0.240504
77.00,0.004361,0.229456,0.229456
77.25,0.003585,0.218844,0.218844
77.50,0.002937,0.208663,0.208663
77.75,0.002398,0.198902,0.198902
78.00,0.001951,0.189552,0.189552
78.25,0.001582,0.180602,0.180602
78.50,0.001278,0.172042,0.172042
78.75,0.001029,0.163858,0.163858
79.00,0.000826,0.156040,0.156040
79.25,0.000661,0.148573,0.148573
79.50,0.000526,0.141447,0.141447
79.75,0.000418,0.134648,0.134648
80.00,0.000331,0.128163,0.128163
80.25,0.000261,0.121979,0.121979
80.50,0.000205,0.116086,0.116086
80.75,0.000161,0.110470,0.110470
81.00,0.000125,0.105120,0.105120
81.25,0.000097,0.100023,0.100023
81.50,0.000076,0.095170,0.095170
81.75,0.000058,0.090549,0.090549
82.00,0.000045,0.086149,0.086149
82.25,0.000034,0.081961,0.081961
82.50,0.000026,0.077974,0.077974
82.75,0.000020,0.074180,0.074180
83.00,0.000015,0.070569,0.070569
83.25,0.000012,0.067133,0.067133
83.50,0.000009,0.063863,0.063863
83.75,0.000007,0.060752,0.060752
84.00,0.000005,0.057792,0.057792
84.25,0.000004,0.054976,0.054976
84.50,0.000003,0.052297,0.052297
84.75,0.000002,0.049748,0.049748
85.00,0.000001,0.047322,0.047322
85.25,0.000001,0.045015,0.045015
85.50,0.000001,0.042821,0.042821
85.75,0.000001,0.040733,0.040733
86.00,0.000000,0.038747,0.038747
86.25,0.000000,0.036857,0.036857
86.50,0.000000,0.035060,0.035060
86.75,0.000000,0.033350,0.033350
87.00,0.000000,0.031724,0.031724
87.25,0.000000,0.030177,0.030177
87.50,0.000000,0.028705,0.028705
87.75,0.000000,0.027306,0.027306
88.00,0.000000,0.025974,0.025974
88.25,0.000000,0.024707,0.024707
88.50,0.000000,0.023502,0.023502
88.75,0.000000,0.022356,0.022356
89.00,0.000000,0.021266,0.021266
89.25,0.000000,0.020229,0.020229
89.50,0.000000,0.019242,0.019242
89.75,0.000000,0.018304,0.018304
90.00,0.000000,0.017411,0.017411
90.25,0.000000,0.016562,0.016562
90.50,0.000000,0.015754,0.015754
90.75,0.000000,0.014986,0.014986
91.00,0.000000,0.014255,0.014255
91.25,0.000000,0.013560,0.013560
91.50,0.000000,0.012898,0.012898
91.75,0.000000,0.012269,0.012269
92.00,0.000000,0.011671,0.011671
92.25,0.000000,0.011102,0.011102
92.50,0.000000,0.010560,0.010560
92.75,0.000000,0.010045,0.010045
93.00,0.000000,0.009555,0.009555
93.25,0.000000,0.009089,0.009089
93.50,0.000000,0.008646,0.008646
93.75,0.000000,0.008224,0.008224
94.00,0.000000,0.007823,0.007823
94.25,0.000000,0.007442,0.007442
94.50,0.000000,0.007079,0.007079
94.75,0.000000,0.006734,0.006734
95.00,0.000000,0.006405,0.006405
95.25,0.000000,0.006093,0.006093
95.50,0.000000,0.005796,0.005796
95.75,0.000000,0.005513,0.005513
96.00,0.000000,0.005244,0.005244
96.25,0.000000,0.004988,0.004988
96.50,0.000000,0.004745,0.004745
96.75,0.000000,0.004514,0.004514
97.00,0.000000,0.004294,0.004294
97.25,0.000000,0.004084,0.004084
97.50,0.000000,0.003885,0.003885
97.75,0.000000,0.003695,0.003695
98.00,0.000000,0.003515,0.003515
98.25,0.000000,0.003344,0.003344
98.50,0.000000,0.003181,0.003181
98.75,0.000000,0.003026,0.003026
99.00,0.000000,0.002878,0.002878
99.25,0.000000,0.002738,0.002738
99.50,0.000000,0.002604,0.002604
99.75,0.000000,0.002477,0.002477
100.00,0.000000,0.002356,0.002356
100.25,0.000000,0.002241,0.002241
100.50,0.000000,0.002132,0.002132
100.75,0.000000,0.002028,0.002028
101.00,0.000000,0.001929,0.001929
101.25,0.000000,0.001835,0.001835
101.50,0.000000,0.001746,0.001746
101.75,0.000000,0.001660,0.001660
102.00,0.000000,0.001579,0.001579
102.25,0.000000,0.001502,0.001502
102.50,0.000000,0.001429,0.001429
102.75,0.000000,0.001359,0.001359
103.00,0.000000,0.001293,0.001293
103.25,0.000000,0.001230,0.001230
103.50,0.000000,0.001170,0.001170
103.75,0.000000,0.001113,0.001113
104.00,0.000000,0.001059,0.001059
104.25,0.000000,0.001007,0.001007
104.50,0.000000,0.000958,0.000958
104.75,0.000000,0.000911,0.000911
105.00,0.000000,0.000867,0.000867
105.25,0.000000,0.000825,0.000825
105.50,0.000000,0.000784,0.000784
105.75,0.000000,0.000746,0.000746
106.00,0.000000,0.000710,0.000710
106.25,0.000000,0.000675,0.000675
106.50,0.000000,0.000642,0.000642
106.75,0.000000,0.000611,0.000611
107.00,0.000000,0.000581,0.000581
107.25,0.000000,0.000553,0.000553
107.50,0.000000,0.000526,0.000526
107.75,0.000000,0.000500,0.000500
108.00,0.000000,0.000476,0.000476
108.25,0.000000,0.000453,0.000453
108.50,0.000000,0.000430,0.000430
108.75,0.000000,0.000409,0.000409
109.00,0.000000,0.000389,0.000389
109.25,0.000000,0.000371,0.000371
109.50,0.000000,0.000352,0.000352
109.75,0.000000,0.000335,0.000335
110.00,0.000000,0.000319,0.000319
110.25,0.000000,0.000303,0.000303
110.50,0.000000,0.000289,0.000289
110.75,0.000000,0.000274,0.000274
111.00,0.000000,0.000261,0.000261
111.25,0.000000,0.000248,0.000248
111.50,0.000000,0.000236,0.000236
111.75,0.000000,0.000225,0.000225
112.00,0.000000,0.000214,0.000214
112.25,0.000000,0.000203,0.000203
112.50,0.000000,0.000193,0.000193
112.75,0.000000,0.000184,0.000184
113.00,0.000000,0.000175,0.000175
113.25,0.000000,0.000166,0.000166
113.50,0.000000,0.000158,0.000158
113.75,0.000000,0.000151,0.000151
114.00,0.000000,0.000143,0.000143
114.25,0.000000,0.000136,0.000136
114.50,0.000000,0.000130,0.000130
114.75,0.000000,0.000123,0.000123
115.00,0.000000,0.000117,0.000117
115.25,0.000000,0.000112,0.000112
115.50,0.000000,0.000106,0.000106
115.75,0.000000,0.000101,0.000101
116.00,0.000000,0.000096,0.000096
116.25,0.000000,0.000091,0.000091
116.50,0.000000,0.000087,0.000087
116.75,0.000000,0.000083,0.000083
117.00,0.000000,0.000079,0.000079
117.25,0.000000,0.000075,0.000075
117.50,0.000000,0.000071,0.000071
117.75,0.000000,0.000068,0.000068
118.00,0.000000,0.000064,0.000064
118.25,0.000000,0.000061,0.000061
118.50,0.000000,0.000058,0.000058
118.75,0.000000,0.000055,0.000055
119.00,0.000000,0.000053,0.000053
119.25,0.000000,0.000050,0.000050
119.50,0.000000,0.000048,0.000048
119.75,0.000000,0.000045,0.000045
120.00,0.000000,0.000043,0.000043
120.25,0.000000,0.000041,0.000041
120.50,0.000000,0.000039,0.000039
120.75,0.000000,0.000037,0.000037
121.00,0.000000,0.000035,0.000035
121.25,0.000000,0.000034,0.000034
121.50,0.000000,0.000032,0.000032
121.75,0.000000,0.000030,0.000030
122.00,0.000000,0.000029,0.000029
122.25,0.000000,0.000028,0.000028
122.50,0.000000,0.000026,0.000026
122.75,0.000000,0.000025,0.000025
123.00,0.000000,0.000024,0.000024
123.25,0.000000,0.000023,0.000023
123.50,0.000000,0.000021,0.000021
123.75,0.000000,0.000020,0.000020
124.00,0.000000,0.000019,0.000019
124.25,0.000000,0.000018,0.000018
124.50,0.000000,0.000018,0.000018
124.75,0.000000,0.000017,0.000017
125.00,0.000000,0.000016,0.000016
125.25,0.000000,0.000015,0.000015
125.50,0.000000,0.000014,0.000014
125.75,0.000000,0.000014,0.000014
126.00,0.000000,0.000013,0.000013
126.25,0.000000,0.000012,0.000012
126.50,0.000000,0.000012,0.000012
126.75,0.000000,0.000011,0.000011
127.00,0.000000,0.000011,0.000011
127.25,0.000000,0.000010,0.000010
127.50,0.000000,0.000010,0.000010
127.75,0.000000,0.000009,0.000009
128.00,0.000000,0.000009,0.000009
128.25,0.000000,0.000008,0.000008
128.50,0.000000,0.000008,0.000008
128.75,0.000000,0.000007,0.000007
129.00,0.000000,0.000007,0.000007
129.25,0.000000,0.000007,0.000007
129.50,0.000000,0.000006,0.000006
129.75,0.000000,0.000006,0.000006
130.00,0.000000,0.000006,0.000006
130.25,0.000000,0.000006,0.000006
130.50,0.000000,0.000005,0.000005
130.75,0.000000,0.000005,0.000005
131.00,0.000000,0.000005,0.000005
131.25,0.000000,0.000005,0.000005
131.50,0.000000,0.000004,0.000004
131.75,0.000000,0.000004,0.000004
132.00,0.000000,0.000004,0.000004
132.25,0.000000,0.000004,0.000004
132.50,0.000000,0.000004,0.000004
132.75,0.000000,0.000003,0.000003
133.00,0.000000,0.000003,0.000003
133.25,0.000000,0.000003,0.000003
133.50,0.000000,0.000003,0.000003
133.75,0.000000,0.000003,0.000003
134.00,0.000000,0.000003,0.000003
134.25,0.000000,0.000002,0.000002
134.50,0.000000,0.000002,0.000002
134.75,0.000000,0.000002,0.000002
135.00,0.000000,0.000002,0.000002
135.25,0.000000,0.000002,0.000002
135.50,0.000000,0.000002,0.000002
135.75,0.000000,0.000002,0.000002
136.00,0.000000,0.000002,0.000002
136.25,0.000000,0.000002,0.000002
136.50,0.000000,0.000002,0.000002
136.75,0.000000,0.000002,0.000002
137.00,0.000000,0.000001,0.000001
137.25,0.000000,0.000001,0.000001
137.50,0.000000,0.000001,0.000001
137.75,0.000000,0.000001,0.000001
138.00,0.000000,0.000001,0.000001
138.25,0.000000,0.000001,0.000001
138.50,0.000000,0.000001,0.000001
138.75,0.000000,0.000001,0.000001
139.00,0.000000,0.000001,0.000001
139.25,0.000000,0.000001,0.000001
139.50,0.000000,0.000001,0.000001
139.75,0.000000,0.000001,0.000001
140.00,0.000000,0.000001,0.000001
140.25,0.000000,0.000001,0.000001
140.50,0.000000,0.000001,0.000001
140.75,0.000000,0.000001,0.000001
141.00,0.000000,0.000001,0.000001
141.25,0.000000,0.000001,0.000001
141.50,0.000000,0.000001,0.000001
141.75,0.000000,0.000001,0.000001
142.00,0.000000,0.000001,0.000001
142.25,0.000000,0.000001,0.000001
142.50,0.000000,0.000000,0.000000
142.75,0.000000,0.000000,0.000000
143.00,0.000000,0.000000,0.000000
143.25,0.000000,0.000000,0.000000
143.50,0.000000,0.000000,0.000000
143.75,0.000000,0.000000,0.000000
144.00,0.000000,0.000000,0.000000
144.25,0.000000,0.000000,0.000000
144.50,0.000000,0.000000,0.000000
144.75,0.000000,0.000000,0.000000
145.00,0.000000,0.000000,0.000000
145.25,0.000000,0.000000,0.000000
145.50,0.000000,0.000000,0.000000
145.75,0.000000,0.000000,0.000000
146.00,0.000000,0.000000,0.000000
146.25,0.000000,0.000000,0.000000
146.50,0.000000,0.000000,0.000000
146.75,0.000000,0.000000,0.000000
147.00,0.000000,0.000000,0.000000
147.25,0.000000,0.000000,0.000000
147.50,0.000000,0.000000,0.000000
147.75,0.000000,0.000000,0.000000
148.00,0.000000,0.000000,0.000000
148.25,0.000000,0.000000,0.000000
148.50,0.000000,0.000000,0.000000
148.75,0.000000,0.000000,0.000000
149.00,0.000000,0.000000,0.000000
149.25,0.000000,0.000000,0.000000
149.50,0.000000,0.000000,0.000000
149.75,0.000000,0.000000,0.000000
150.00,0.000000,0.000000,0.000000
150.25,0.000000,0.000000,0.000000
150.50,0.000000,0.000000,0.000000
150.75,0.000000,0.000000,0.000000
151.00,0.000000,0.000000,0.000000
151.25,0.000000,0.000000,0.000000
151.50,0.000000,0.000000,0.000000
151.75,0.000000,0.000000,0.000000
152.00,0.000000,0.000000,0.000000
152.25,0.000000,0.000000,0.000000
152.50,0.000000,0.000000,0.000000
152.75,0.000000,0.000000,0.000000
153.00,0.000000,0.000000,0.000000
153.25,0.000000,0.000000,0.000000
153.50,0.000000,0.000000,0.000000
153.75,0.000000,0.000000,0.000000
154.00,0.000000,0.000000,0.000000
154.25,0.000000,0.000000,0.000000
154.50,0.000000,0.000000,0.000000
154.75,0.000000,0.000000,0.000000
155.00,0.000000,0.000000,0.000000
155.25,0.000000,0.000000,0.000000
155.50,0.000000,0.000000,0.000000
155.75,0.000000,0.000000,0.000000
156.00,0.000000,0.000000,0.000000
156.25,0.000000,0.000000,0.000000
156.50,0.000000,0.000000,0.000000
156.75,0.000000,0.000000,0.000000
157.00,0.000000,0.000000,0.000000
157.25,0.000000,0.000000,0.000000
157.50,0.000000,0.000000,0.000000
157.75,0.000000,0.000000,0.000000
158.00,0.000000,0.000000,0.000000
158.25,0.000000,0.000000,0.000000
158.50,0.000000,0.000000,0.000000
158.75,0.000000,0.000000,0.000000
159.00,0.000000,0.000000,0.000000
159.25,0.000000,0.000000,0.000000
159.50,0.000000,0.000000,0.000000
159.75,0.000000,0.000000,0.000000
160.00,0.000000,0.000000,0.000000
160.25,0.000000,0.000000,0.000000
160.50,0.000000,0.000000,0.000000
160.75,0.000000,0.000000,0.000000
161.00,0.000000,0.000000,0.000000
161.25,0.000000,0.000000,0.000000
161.50,0.000000,0.000000,0.000000
161.75,0.000000,0.000000,0.000000
162.00,0.000000,0.000000,0.000000
162.25,0.000000,0.000000,0.000000
162.50,0.000000,0.000000,0.000000
162.75,0.000000,0.000000,0.000000
163.00,0.000000,0.000000,0.000000
163.25,0.000000,0.000000,0.000000
163.50,0.000000,0.000000,0.000000
163.75,0.000000,0.000000,0.000000
164.00,0.000000,0.000000,0.000000
164.25,0.000000,0.000000,0.000000
164.50,0.000000,0.000000,0.000000
164.75,0.000000,0.000000,0.000000
165.00,0.000000,0.000000,0.000000
165.25,0.000000,0.000000,0.000000
165.50,0.000000,0.000000,0.000000
165.75,0.000000,0.000000,0.000000
166.00,0.000000,0.000000,0.000000
166.25,0.000000,0.000000,0.000000
166.50,0.000000,0.000000,0.000000
166.75,0.000000,0.000000,0.000000
167.00,0.000000,0.000000,0.000000
167.25,0.000000,0.000000,0.000000
167.50,0.000000,0.000000,0.000000
167.75,0.000000,0.000000,0.000000
168.00,0.000000,0.000000,0.000000
168.25,0.000000,0.000000,0.000000
168.50,0.000000,0.000000,0.000000
168.75,0.000000,0.000000,0.000000
169.00,0.000000,0.000000,0.000000
169.25,0.000000,0.000000,0.000000
169.50,0.000000,0.000000,0.000000
169.75,0.000000,0.000000,0.000000
170.00,0.000000,0.000000,0.000000
170.25,0.000000,0.000000,0.000000
170.50,0.000000,0.000000,0.000000
170.75,0.000000,0.000000,0.000000
171.00,0.000000,0.000000,0.000000
171.25,0.000000,0.000000,0.000000
171.50,0.000000,0.000000,0.000000
171.75,0.000000,0.000000,0.000000
172.00,0.000000,0.000000,0.000000
172.25,0.000000,0.000000,0.000000
172.50,0.000000,0.000000,0.000000
172.75,0.000000,0.000000,0.000000
173.00,0.000000,0.000000,0.000000
173.25,0.000000,0.000000,0.000000
173.50,0.000000,0.000000,0.000000
173.75,0.000000,0.000000,0.000000
174.00,0.000000,0.000000,0.000000
174.25,0.000000,0.000000,0.000000
174.50,0.000000,0.000000,0.000000
174.75,0.000000,0.000000,0.000000
175.00,0.000000,0.000000,0.000000
175.25,0.000000,0.000000,0.000000
175.50,0.000000,0.000000,0.000000
175.75,0.000000,0.000000,0.000000
176.00,0.000000,0.000000,0.000000
176.25,0.000000,0.000000,0.000000
176.50,0.000000,0.000000,0.000000
176.75,0.000000,0.000000,0.000000
177.00,0.000000,0.000000,0.000000
177.25,0.000000,0.000000,0.000000
177.50,0.000000,0.000000,0.000000
177.75,0.000000,0.000000,0.000000
178.00,0.000000,0.000000,0.000000
178.25,0.000000,0.000000,0.000000
178.50,0.000000,0.000000,0.000000
178.75,0.000000,0.000000,0.000000
179.00,0.000000,0.000000,0.000000
179.25,0.000000,0.000000,0.000000
179.50,0.000000,0.000000,0.000000
179.75,0.000000,0.000000,0.000000
180.00,0.000000,0.000000,0.000000
